Timestamp,Are you measuring with or without the aid of blocks?,What is the length of the bolt L in millimeters?,What is the diameter of the bolt D in millimeters?,What is the thread pitch P in millimeters,"Enter a code name or pseudonym so we can link measurements to individuals without knowing their actual name.  Also, you will be able to find your measurements later."
12-18-2022 11:30:45,With Blocks,75.02961712,15.12007829,2.109017283,
12-19-2022 10:00:21,No Blocks,73.96412968,12.98700724,1.073373752,
12-19-2022 10:00:22,No Blocks,74.01203316,13.11363313,0.931322688,
12-19-2022 10:00:23,No Blocks,74.04716829,13.02883425,1.139185484,
12-19-2022 10:00:24,No Blocks,73.8654498,13.00007474,1.005349481,
12-19-2022 10:00:25,With Blocks,74.76580948,15.12480951,2.280923185,
12-19-2022 10:00:26,No Blocks,999,999,0.953539551,
12-19-2022 10:00:27,With Blocks,75.03843178,14.96201725,1.989822177,
12-19-2022 10:00:28,No Blocks,74.16181511,12.91527701,0.942411682,
12-19-2022 10:00:29,No Blocks,73.99240869,12.98675284,1.143930967,
12-19-2022 10:00:30,No Blocks,74.20312629,12.90217984,0.935897633,
12-19-2022 10:00:31,No Blocks,74.05204757,12.96193,1.199285194,
12-19-2022 10:00:32,No Blocks,74.16358702,13.05590189,1.056363758,
12-19-2022 10:00:33,With Blocks,74.96616034,15.07636474,2.112744235,
12-19-2022 10:00:34,With Blocks,75.01415712,15.19281341,2.067063791,
12-19-2022 10:00:35,No Blocks,73.98898888,13.03709623,1.109659469,
12-19-2022 10:00:36,With Blocks,74.96018369,14.99145374,2.237328741,
12-19-2022 10:00:37,With Blocks,74.9526079,15.09463409,2.081816158,
12-19-2022 10:00:38,With Blocks,75.15889709,15.0526012,1.753480245,
12-19-2022 10:00:39,With Blocks,74.91474721,15.05117354,2.025777491,
12-19-2022 10:00:40,No Blocks,74.19624474,13.14063149,1.049683373,
12-19-2022 10:00:41,No Blocks,74.00828306,12.84515221,1.186315963,
12-19-2022 10:00:42,With Blocks,0,0,0,
12-19-2022 10:00:43,With Blocks,75.01029542,14.94296539,2.049306216,
12-19-2022 10:00:44,No Blocks,73.92924868,12.8651975,0.824569847,
12-19-2022 10:00:45,No Blocks,73.9636191,12.9372906,1.044015025,
12-19-2022 10:00:46,No Blocks,73.84973589,12.97917646,0.849487454,
12-19-2022 10:00:47,No Blocks,74.18097408,12.98830274,1.122620899,
12-19-2022 10:00:48,With Blocks,75.04949431,15.09085949,1.884578117,
