Timestamp,Are you measuring with or without the aid of blocks?,What is the length of the bolt L in millimeters?,What is the diameter of the bolt D in millimeters?,What is the thread pitch P in millimeters,"Enter a code name or pseudonym so we can link measurements to individuals without knowing their actual name.  Also, you will be able to find your measurements later."
1/10/2023 9:51:31,No blocks,100,10.5,1,adam 
1/10/2023 9:51:57,No blocks,200,6,1,dave
1/10/2023 9:52:16,No blocks,24.5,5,1.2,chungus
1/10/2023 9:52:47,No blocks,105,9,2,Isaac
1/10/2023 9:53:16,No blocks,100,11,2,alex
1/10/2023 9:53:20,No blocks,199,5,1.3,mmm
1/10/2023 9:53:22,No blocks,145,8,1.75,Mortal
1/10/2023 9:53:25,No blocks,156.5,8,1,cheeseburgersyessir
1/10/2023 9:53:27,No blocks,200,5,1,Ben
1/10/2023 9:53:47,No blocks,24.5,6,1,shrek
1/10/2023 9:53:58,No blocks,200,5.5,1,KJA
1/10/2023 9:54:01,No blocks,151,9,1.5,Penguin
1/10/2023 9:54:18,No blocks,190,6,1,Pollos
1/10/2023 9:54:19,No blocks,10.8,1.1,0.2,Spongebob
1/10/2023 9:54:39,No blocks,194,5,1,Mortal
1/10/2023 9:54:39,No blocks,200,6,1,Why
1/10/2023 9:54:49,No blocks,101,12,2,DREW
1/10/2023 9:54:52,No blocks,157,9,2,Tacodilesupreem 
1/10/2023 9:54:59,No blocks,149,9,1.8,jenny
1/10/2023 9:55:12,No blocks,151,10,1.5,One Eyed One Horned Flying Purple People Eater
1/10/2023 9:55:19,No blocks,101,11,1.8,Sus
1/10/2023 9:55:22,With blocks,100.5,13,2,handheld vacuum
1/10/2023 9:55:45,With blocks,100,11.5,1.75,Siri
1/10/2023 9:55:56,No blocks,100,12,2,1551
1/10/2023 9:55:58,No blocks,197,4,1,RandomGuy
1/10/2023 9:56:10,No blocks,151,9,1.5,Sus
1/10/2023 9:56:13,No blocks,200,5,0.8,borb
1/10/2023 9:56:22,No blocks,151,9,1.5,1551
1/10/2023 9:56:28,No blocks,100,1.1,2,bolts22
1/10/2023 9:56:29,No blocks,20,6,1,zap zap zoom
1/10/2023 9:56:39,No blocks,200,5,1,jamie
1/10/2023 9:56:45,With blocks,100.5,13,2,Frog
1/10/2023 9:56:51,No blocks,200,5,1.25,Mr.Anderson
1/10/2023 9:57:00,No blocks,240,5,1,chesseburgeryessir
1/10/2023 9:57:03,No blocks,204,5,1.5,Tacodilesupreem
1/10/2023 9:57:05,No blocks,100,11.1,1.7,Prime
1/10/2023 9:57:05,No blocks,200,6,1.3,Cremini Soup
1/10/2023 9:57:06,No blocks,152,9,1,Jon Arbuckle
1/10/2023 9:57:08,No blocks,150,9,1.5,Yiyi
1/10/2023 9:57:11,With blocks,200,6,1,TopG
1/10/2023 9:57:17,No blocks,200,6,1.25,One Eyed One Horned Flying Purple People Eater
1/10/2023 9:57:22,No blocks,152,7,2,May
1/10/2023 9:57:26,No blocks,202,5.5,1.2,co
1/10/2023 9:57:28,No blocks,100,11,2,DREW
1/10/2023 9:57:38,No blocks,157,9,1.5,Vhfhgjgjmvmvnnbngfm
1/10/2023 9:57:38,No blocks,151,8,2,LX
1/10/2023 9:58:04,With blocks,150,9.2,1.9,Fugacity
1/10/2023 9:58:18,No blocks,200,5.1,1.2,Jenny
1/10/2023 9:58:19,With blocks,157,8,2,nick
1/10/2023 9:58:23,No blocks,108,10.2,2,Arborvitae
1/10/2023 9:58:38,With blocks,152,9,1.5,Siri
1/10/2023 9:58:42,With blocks,100,13,2,Qwertyuiop
1/10/2023 9:58:42,With blocks,151,9,2,30xl
1/10/2023 9:58:43,No blocks,100,11,2,Penguin
1/10/2023 9:58:46,With blocks,150,9.2,1.9,Santiago
1/10/2023 9:58:53,With blocks,157,9,2,TopG
1/10/2023 9:58:54,With blocks,152,9,1.5,Bixby
1/10/2023 9:58:57,No blocks,101,11,2,DREW
1/10/2023 9:59:03,With blocks,147,6,1,Kiwi
1/10/2023 9:59:04,No blocks,149,6.3,1.2,CEME 1202 chair
1/10/2023 9:59:10,With blocks,150,9.2,1.9,Ryguy
1/10/2023 9:59:11,No blocks,151,8,2,mmm
1/10/2023 9:59:16,No blocks,16.5,10,1.5,chungus again
1/10/2023 9:59:25,With blocks,150,9.75,1.5,One Eyed One Horned Flying Purple People Eater
1/10/2023 9:59:36,With blocks,100,12,1.75,Bixby
1/10/2023 9:59:42,No blocks,151,9,1.5,bolts33
1/10/2023 9:59:50,With blocks,102,12.5,2,Yo
1/10/2023 9:59:53,With blocks,151,9,1.5,DELL
1/10/2023 10:00:02,With blocks,103,13,2.1,Hola
1/10/2023 10:00:12,With blocks,99,12,0.2,BZ
1/10/2023 10:00:12,No blocks,200,6,1,canyon 4
1/10/2023 10:00:23,No blocks,103,12,3,Aldy
1/10/2023 10:00:26,No blocks,118,12,2,Beobsii
1/10/2023 10:00:30,No blocks,101,10,2,LX
1/10/2023 10:00:31,With blocks,101,12,2,DEL
1/10/2023 10:00:37,No blocks,210,5,1,Canyon 1
1/10/2023 10:00:39,With blocks,206,6,1,nice
1/10/2023 10:00:55,No blocks,151,8,2,Canyon 1
1/10/2023 10:00:55,No blocks,15.15,0.75,0.2,Canyon 7
1/10/2023 10:01:01,With blocks,149,8,2,LED
1/10/2023 10:01:02,With blocks,213,7,1,Koi
1/10/2023 10:01:02,With blocks,99,11,1.9,30xs
1/10/2023 10:01:06,No blocks,152,8.33,1.67,Cygnoides
1/10/2023 10:01:15,No blocks,149,10,1.9,shrek
1/10/2023 10:01:16,With blocks,151,9,1.5,BZ
1/10/2023 10:01:34,No blocks,200,6,1,Bob 
1/10/2023 10:01:40,No blocks,200,6,1,Silver
1/10/2023 10:01:40,With blocks,100.5,13.5,1.9,Shammie
1/10/2023 10:01:41,With blocks,100,12,1.5,Not Josh
1/10/2023 10:01:49,No blocks,110,13,1.8,Koi
1/10/2023 10:01:49,No blocks,200,6,1.25,Alt rod yo
1/10/2023 10:01:49,No blocks,100,18.3,20,KSK
1/10/2023 10:01:51,With blocks,151,9,1.5,2227
1/10/2023 10:01:52,With blocks,152,17,2,LBJ
1/10/2023 10:01:59,No blocks,100,11.1,2,bolts22
1/10/2023 10:02:04,With blocks,152,9,1,Not Josh
1/10/2023 10:02:15,No blocks,100,12,2,John
1/10/2023 10:02:23,No blocks,151,9,11.6,prime
1/10/2023 10:02:41,With blocks,102,13,2,BigApe
1/10/2023 10:02:56,No blocks,150,11,2,RandomGuy
1/10/2023 10:03:10,No blocks,200,6,1.5,LED
1/10/2023 10:03:19,With blocks,100,10,1.5,Blazer
1/10/2023 10:03:26,No blocks,158,6,1.5,YAB
1/10/2023 10:03:29,No blocks,108,12,1.5,Kanye
1/10/2023 10:03:34,No blocks,50,1,5,measure man
1/10/2023 10:03:39,No blocks,156,9,0.8,Kesh
1/10/2023 10:03:46,With blocks,201,6,1,Arjun Vallipuram 
1/10/2023 10:03:50,With blocks,151.5,9,1.5,Conduction Productions
1/10/2023 10:03:58,With blocks,200,6,1,2227
1/10/2023 10:04:00,No blocks,100,11,2,Joe Mama
1/10/2023 10:04:02,No blocks,200,6,1,RLP
1/10/2023 10:04:06,With blocks,100,10,1.5,8
1/10/2023 10:04:11,With blocks,100,11.5,2,spock
1/10/2023 10:04:13,With blocks,99,11.5,1.7,My real name is Curtis 
1/10/2023 10:04:44,No blocks,100,12,1.9,Sus
1/10/2023 10:04:45,No blocks,150,7,1.5,MMM
1/10/2023 10:05:01,With blocks,148,10,1,eilai
1/10/2023 10:05:02,No blocks,199,6,12,Sus
1/10/2023 10:06:00,No blocks,20.3,5.1,1,Dawg
1/10/2023 10:06:07,No blocks,15,10,25,Effaych
1/10/2023 10:06:26,No blocks,156,19.1,1.5,RenacuajoT
1/10/2023 10:06:40,No blocks,100,12,3,CanucksFan
1/10/2023 10:06:48,No blocks,210,0.5,0.11,CK
1/10/2023 10:07:08,No blocks,205.9,13.5,1.1,RenacuajoL
1/10/2023 10:07:18,With blocks,110,13,34,F.e
1/10/2023 10:07:37,No blocks,101,10,2,Sleepy
1/10/2023 10:07:46,No blocks,117,8,1.5,CK
1/10/2023 10:08:18,No blocks,100,120,40,Effaych
1/10/2023 10:08:49,With blocks,157.5,9.5,27.5,F.e
1/10/2023 10:09:31,No blocks,200,6,1,Sleepy
